generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Prunus_arborea,Prunus_glandulifolia,0,0.032,0,0.005,0
2000,Prunus_arborea,Prunus_glandulifolia,0,0.116975,-0.00394638,0.0148282,0
4000,Prunus_arborea,Prunus_glandulifolia,0,0.117014,0.000148751,0.0563792,0
6000,Prunus_arborea,Prunus_glandulifolia,0,0.0927586,-0.00505387,0.00525229,0
6000,Prunus_mume,Prunus_tenella,21.5234,0.183154,-0.00835592,0.0436234,0
8000,Prunus_arborea,Prunus_glandulifolia,0,0.158603,-0.0239978,0.00572957,0
8000,Prunus_glandulifolia,Prunus_mume,4.10719,0.128702,0.000217993,0.0566447,0
10000,Prunus_arborea,Prunus_glandulifolia,0,0.153496,-0.0289251,0.0100378,0
10000,Prunus_glandulifolia,Prunus_mume,9.63446,0.13944,-0.00565031,0.0091246,0
12000,Prunus_arborea,Prunus_glandulifolia,0,0.114153,-0.021015,0.00559461,0
12000,Prunus_laurocerasus,NA,61.8856,0.0542695,0.0270444,0.0618676,0
12000,Prunus_sargentii,NA,54.1841,0.0287185,-0.00596454,0.158161,0
12000,Prunus_pensylvanica,NA,39.8291,0.0891415,-0.00680504,0.139147,0
12000,Prunus_glandulifolia,Prunus_mume,0.0263436,0.148636,-0.00167947,0.0268153,0
14000,Prunus_arborea,Prunus_glandulifolia,0,0.201156,-0.0347065,0.0038755,0
14000,Prunus_fujianensis,NA,62.0982,0.136521,0.00326446,0.281911,0
14000,Prunus_glandulifolia,Prunus_mume,1.36527,0.0894204,8.53568e-05,0.00694391,0
16000,Prunus_arborea,Prunus_glandulifolia,0,0.144891,-0.0246798,0.00235963,0
16000,Prunus_glandulifolia,Prunus_mume,11.8658,0.118031,-0.00410035,0.0174813,0
18000,Prunus_arborea,Prunus_glandulifolia,0,0.186782,-0.0341117,0.0113792,0
18000,Prunus_glandulifolia,Prunus_mume,11.0847,0.128008,-0.00209802,0.0296094,0
20000,Prunus_arborea,Prunus_glandulifolia,0,0.158223,-0.0211351,0.00719476,0
20000,Prunus_glandulifolia,Prunus_mume,10.5397,0.0969369,0.000680906,0.000129787,0
22000,Prunus_arborea,Prunus_glandulifolia,0,0.161085,-0.0258976,0.0073995,0
22000,Prunus_glandulifolia,Prunus_mume,3.55682,0.0760852,0.0359065,0.0320187,0
24000,Prunus_arborea,Prunus_glandulifolia,0,0.122616,-0.0196966,0.000469223,0
24000,Prunus_cerasifera,NA,60.2972,0.0680356,0.0107348,0.0702012,0
24000,Prunus_glandulifolia,Prunus_mume,9.24095,0.0708593,0.0175642,0.000336821,0
26000,Prunus_arborea,Prunus_glandulifolia,0,0.161489,-0.0266331,0.00353734,0
26000,Prunus_tenella,NA,53.4512,0.133644,-0.02074,0.167356,0
26000,Prunus_glandulifolia,Prunus_mume,4.18921,0.0649154,0.0189415,0.0114153,0
28000,Prunus_arborea,Prunus_glandulifolia,0,0.122605,-0.022891,0.00855894,0
28000,Prunus_glandulifolia,Prunus_mume,5.05112,0.128483,0.00214679,0.032572,0
30000,Prunus_arborea,Prunus_glandulifolia,0,0.320603,-0.0452017,0.0196238,0
30000,Prunus_trichantha,NA,50.3094,0.0439662,-0.0101177,0.261604,0
30000,Prunus_glandulifolia,Prunus_mume,3.98178,0.122028,0.00125289,0.0243303,0
32000,Prunus_arborea,Prunus_glandulifolia,0,0.351531,-0.0411222,0.0176206,0
32000,Prunus_glandulifolia,Prunus_mume,1.39226,0.151825,-0.0049477,0.0114687,0
34000,Prunus_arborea,Prunus_glandulifolia,0,0.197512,-0.0302127,0.036917,0
34000,Prunus_glandulifolia,Prunus_mume,1.97309,0.140711,-0.0066545,0.0174055,0
36000,Prunus_arborea,Prunus_glandulifolia,0,0.240186,-0.0453037,0.00358925,0
36000,Prunus_glandulifolia,Prunus_mume,10.7701,0.127919,-0.00408117,0.0206251,0
38000,Prunus_arborea,Prunus_glandulifolia,0,0.232211,-0.0420163,0.00276337,0
38000,Prunus_glandulifolia,Prunus_mume,2.82575,0.145087,0.000897456,0.0436126,0
40000,Prunus_arborea,Prunus_glandulifolia,0,0.168482,-0.0262539,0.00604454,0
40000,Prunus_glandulifolia,Prunus_mume,5.16134,0.117121,1.58259e-05,0.0163209,0
42000,Prunus_arborea,Prunus_glandulifolia,0,0.239446,-0.0429006,0.00586291,0
42000,Prunus_glandulifolia,Prunus_mume,2.92178,0.150224,-0.00200903,0.0205245,0
44000,Prunus_arborea,Prunus_glandulifolia,0,0.170898,-0.027465,0.00917216,0
44000,Prunus_glandulifolia,Prunus_mume,2.85467,0.11554,0.00163384,0.00690997,0
46000,Prunus_arborea,Prunus_glandulifolia,0,0.191574,-0.0259286,0.0270572,0
46000,Prunus_glandulifolia,Prunus_mume,8.44321,0.0937083,0.0204056,0.0566832,0
48000,Prunus_arborea,Prunus_glandulifolia,0,0.179736,-0.0349919,0.00325816,0
48000,Prunus_glandulifolia,Prunus_mume,0.343832,0.1043,-0.00026522,0.00662799,0
50000,Prunus_arborea,Prunus_glandulifolia,0,0.192392,-0.0364598,0.00517751,0
50000,Prunus_glandulifolia,Prunus_mume,2.33343,0.130701,-0.00398345,0.0225617,0
52000,Prunus_arborea,Prunus_glandulifolia,0,0.16586,-0.0363442,0.00346264,0
52000,Prunus_glandulifolia,Prunus_mume,11.4066,0.127152,0.000826057,0.0290744,0
54000,Prunus_arborea,Prunus_glandulifolia,0,0.177901,-0.0297163,0.000127869,0
54000,Prunus_glandulifolia,Prunus_mume,1.76549,0.0783175,0.00521481,0.00611518,0
56000,Prunus_arborea,Prunus_glandulifolia,0,0.323533,-0.0445685,0.0148962,0
56000,Prunus_mahaleb,Prunus_mahaleb_own,56.9538,0.271839,0.00181598,0.0502767,0
56000,Prunus_glandulifolia,Prunus_mume,2.87896,0.0871173,0.00315151,0.013002,0
58000,Prunus_arborea,Prunus_glandulifolia,0,0.230216,-0.0339687,0.00714409,0
58000,Prunus_glandulifolia,Prunus_mume,4.2338,0.0552997,0.0193393,0.0111912,0
60000,Prunus_arborea,Prunus_glandulifolia,0,0.244324,-0.0377617,0.00928988,0
60000,Prunus_himalayana,NA,62.2054,0.600854,0.0038961,0.233185,0
60000,Prunus_glandulifolia,Prunus_mume,1.35339,0.104648,0.001543,0.00550051,0
62000,Prunus_arborea,Prunus_glandulifolia,0,0.209358,-0.0364839,0.0140615,0
62000,Prunus_glandulifolia,Prunus_mume,6.63173,0.105789,0.00381918,0.0175218,0
64000,Prunus_arborea,Prunus_glandulifolia,0,0.266195,-0.0308775,0.0302806,0
64000,Prunus_glandulifolia,Prunus_mume,11.4405,0.116412,-0.00245439,0.0023499,0
66000,Prunus_arborea,Prunus_glandulifolia,0,0.207555,-0.0356989,0.0011479,0
66000,Prunus_mahaleb,Prunus_mahaleb_own,30.2809,0.264137,-0.0217726,0.0507188,0
66000,Prunus_glandulifolia,Prunus_mume,7.62842,0.103414,0.000171773,0.0306548,0
68000,Prunus_arborea,Prunus_glandulifolia,0,0.212167,-0.0324057,0.0223444,0
68000,Prunus_padus_own1,Prunus_padus,35.3627,0.118478,-0.0237711,0.0575778,0
68000,Prunus_glandulifolia,Prunus_mume,1.92744,0.122349,-0.00392878,0.00777461,0
70000,Prunus_arborea,Prunus_glandulifolia,0,0.204258,-0.0258496,0.0223898,0
70000,Prunus_arborea,Prunus_arborea_var._montana,15.7172,0.0957186,0.0106449,0.0342896,0
70000,Prunus_glandulifolia,Prunus_mume,0.567239,0.158062,-0.0017327,0.032328,0
72000,Prunus_arborea,Prunus_glandulifolia,0,0.170895,-0.0317412,0.00453336,0
72000,Prunus_glandulifolia,Prunus_mume,5.37476,0.11456,0.00133702,0.0108722,0
74000,Prunus_arborea,Prunus_glandulifolia,0,0.150354,-0.0244311,0.00154543,0
74000,Prunus_glandulifolia,Prunus_mume,6.6222,0.292227,-0.0204022,0.0554327,0
76000,Prunus_arborea,Prunus_glandulifolia,0,0.430529,-0.0443284,0.0325016,0
76000,Prunus_glandulifolia,Prunus_mume,0.279605,0.224792,-0.0115969,0.0448295,0
78000,Prunus_arborea,Prunus_glandulifolia,0,0.248839,-0.0401063,0.0188581,0
78000,Prunus_hongpingensis,NA,61.6078,0.796658,-0.0481736,0.251119,0
78000,Prunus_glandulifolia,Prunus_mume,6.06503,0.106164,-0.000614304,0.014349,0
80000,Prunus_arborea,Prunus_glandulifolia,0,0.217306,-0.0420757,0.00291091,0
80000,Prunus_glandulifolia,Prunus_mume,5.15859,0.120681,0.00052201,0.0315276,0
82000,Prunus_arborea,Prunus_glandulifolia,0,0.376652,-0.0550603,0.00563569,0
82000,Prunus_glandulifolia,Prunus_mume,5.28052,0.136234,0.00233843,0.0392174,0
84000,Prunus_arborea,Prunus_glandulifolia,0,0.177817,-0.0351282,0.00234665,0
84000,Prunus_glandulifolia,Prunus_mume,3.26389,0.154747,-0.00472783,0.0407254,0
86000,Prunus_arborea,Prunus_glandulifolia,0,0.201217,-0.0392455,0.0096286,0
86000,Prunus_glandulifolia,Prunus_mume,0.0183928,0.0691871,0.0170344,0.0351418,0
88000,Prunus_arborea,Prunus_glandulifolia,0,0.16978,-0.0337482,0.0035511,0
88000,Prunus_glandulifolia,Prunus_mume,4.42611,0.0596956,0.0235886,0.00926164,0
90000,Prunus_arborea,Prunus_glandulifolia,0,0.288408,-0.049261,0.00746743,0
90000,Prunus_glandulifolia,Prunus_mume,2.66151,0.116991,0.00489541,0.0498843,0
92000,Prunus_arborea,Prunus_glandulifolia,0,0.342341,-0.0482454,0.00555535,0
92000,Prunus_fasciculata,NA,37.5326,0.0154046,-0.000649029,0.123814,0
92000,Prunus_glandulifolia,Prunus_mume,8.48901,0.136026,-0.00262427,0.00532094,0
94000,Prunus_arborea,Prunus_glandulifolia,0,0.200117,-0.0346305,0.00427976,0
94000,Prunus_glandulifolia,Prunus_mume,1.72742,0.12709,-0.00309133,0.00546054,0
96000,Prunus_arborea,Prunus_glandulifolia,0,0.251755,-0.0360018,0.0193201,0
96000,Prunus_glandulifolia,Prunus_mume,0.0945802,0.140861,-0.00457886,0.00994808,0
98000,Prunus_arborea,Prunus_glandulifolia,0,0.217056,-0.0316585,0.0143309,0
98000,Prunus_glandulifolia,Prunus_mume,5.97114,0.162039,-0.0015674,0.0841075,0
100000,Prunus_arborea,Prunus_glandulifolia,0,0.355516,-0.0391627,0.0198253,0
100000,Prunus_glandulifolia,Prunus_mume,5.73007,0.0650017,0.0265322,0.00055391,0
102000,Prunus_arborea,Prunus_glandulifolia,0,0.116624,-0.0192585,0.0161123,0
102000,Prunus_glandulifolia,Prunus_mume,6.78923,0.124251,-0.00105759,0.00361954,0
104000,Prunus_arborea,Prunus_glandulifolia,0,0.0993215,-0.0112139,0.00484321,0
104000,Prunus_glandulifolia,Prunus_mume,10.0014,0.14787,-0.00593009,0.0218819,0
106000,Prunus_arborea,Prunus_glandulifolia,0,0.134193,-0.0222013,0.00685506,0
106000,Prunus_glandulifolia,Prunus_mume,8.26411,0.104082,0.00781217,0.0253327,0
108000,Prunus_arborea,Prunus_glandulifolia,0,0.195724,-0.0295855,0.00826737,0
108000,Prunus_glandulifolia,Prunus_mume,9.61545,0.0749205,0.0164547,0.0353169,0
110000,Prunus_arborea,Prunus_glandulifolia,0,0.195466,-0.0347341,0.00862513,0
110000,Prunus_glandulifolia,Prunus_mume,1.13042,0.0718167,0.0190197,0.0255719,0
112000,Prunus_arborea,Prunus_glandulifolia,0,0.218572,-0.0307883,0.0137601,0
112000,Prunus_glandulifolia,Prunus_mume,8.51106,0.0663936,0.0285022,0.0105094,0
114000,Prunus_arborea,Prunus_glandulifolia,0,0.0737776,-0.0159622,0.00375245,0
114000,Prunus_glandulifolia,Prunus_mume,8.53838,0.123534,0.0042498,0.0337263,0
116000,Prunus_arborea,Prunus_glandulifolia,0,0.145103,-0.0191979,0.00809163,0
116000,Prunus_glandulifolia,Prunus_mume,5.2589,0.0584817,0.0295793,0.000743761,0
118000,Prunus_arborea,Prunus_glandulifolia,0,0.427173,-0.0460606,0.0363683,0
118000,Prunus_glandulifolia,Prunus_mume,7.17337,0.0664554,0.0306833,0.00780712,0
120000,Prunus_arborea,Prunus_glandulifolia,0,0.175507,-0.0342849,0.000582711,0
120000,Prunus_glandulifolia,Prunus_mume,7.07127,0.0819676,0.0343199,0.039153,0
122000,Prunus_arborea,Prunus_glandulifolia,0,0.185825,-0.0346634,0.0117493,0
122000,Prunus_glandulifolia,Prunus_mume,7.90214,0.0747198,0.015214,0.00393069,0
124000,Prunus_arborea,Prunus_glandulifolia,0,0.163765,-0.025711,0.00369587,0
124000,Prunus_glandulifolia,Prunus_mume,7.45786,0.079993,0.0033304,0.00445583,0
126000,Prunus_arborea,Prunus_glandulifolia,0,0.172878,-0.0323881,0.00284397,0
126000,Prunus_glandulifolia,Prunus_mume,0.367041,0.0899536,0.00913353,0.0248978,0
128000,Prunus_arborea,Prunus_glandulifolia,0,0.305249,-0.0376734,0.0378935,0
128000,Prunus_glandulifolia,Prunus_mume,4.95945,0.124514,-0.000961143,0.00617101,0
130000,Prunus_arborea,Prunus_glandulifolia,0,0.246891,-0.0310553,0.0156333,0
130000,Prunus_glandulifolia,Prunus_mume,7.15254,0.056921,0.0426476,0.0226071,0
132000,Prunus_arborea,Prunus_glandulifolia,0,0.131068,-0.0140671,0.00865454,0
132000,Prunus_glandulifolia,Prunus_mume,5.37833,0.164769,-0.00427743,0.0444314,0
134000,Prunus_arborea,Prunus_glandulifolia,0,0.164969,-0.0252811,0.00861085,0
134000,Prunus_glandulifolia,Prunus_mume,5.76202,0.107772,-0.00158427,0.00844521,0
136000,Prunus_arborea,Prunus_glandulifolia,0,0.154298,-0.0322631,0.000491215,0
136000,Prunus_glandulifolia,Prunus_mume,5.41087,0.135524,-0.00936647,0.0191098,0
138000,Prunus_arborea,Prunus_glandulifolia,0,0.204772,-0.0288723,0.0267141,0
138000,Prunus_glandulifolia,NA,62.8618,1.29945,-0.0119251,0.0168106,0
138000,Prunus_glandulifolia,Prunus_mume,11.9882,0.0712035,0.0383376,0.0435576,0
140000,Prunus_arborea,Prunus_glandulifolia,0,0.283703,-0.0347238,0.0412985,0
140000,Prunus_mume,NA,46.5383,0.27578,-0.00836891,0.299462,0
140000,Prunus_glandulifolia,Prunus_mume,10.0766,0.163401,-0.00606146,0.0283667,0
142000,Prunus_arborea,Prunus_glandulifolia,0,0.177642,-0.0325228,0.00217417,0
142000,Prunus_glandulifolia,Prunus_mume,2.65692,0.059871,0.0130071,0.00390768,0
144000,Prunus_arborea,Prunus_glandulifolia,0,0.289233,-0.040881,0.0134846,0
144000,Prunus_glandulifolia,Prunus_mume,5.25353,0.0504905,0.0515461,0.0171012,0
146000,Prunus_arborea,Prunus_glandulifolia,0,0.159093,-0.0295621,0.00268477,0
146000,Prunus_glandulifolia,Prunus_mume,1.45563,0.102409,0.00525297,0.0187836,0
148000,Prunus_arborea,Prunus_glandulifolia,0,0.321001,-0.0511642,0.00559781,0
148000,Prunus_glandulifolia,Prunus_mume,4.60491,0.0819781,0.0202081,0.0128527,0
150000,Prunus_arborea,Prunus_glandulifolia,0,0.202843,-0.0343597,0.0136387,0
150000,Prunus_glandulifolia,Prunus_mume,6.74596,0.0824983,0.00758222,0.009701,0
152000,Prunus_arborea,Prunus_glandulifolia,0,0.138261,-0.0187475,0.00780685,0
152000,Prunus_glandulifolia,Prunus_mume,1.06829,0.157945,-0.00218707,0.0396838,0
154000,Prunus_arborea,Prunus_glandulifolia,0,0.164816,-0.0221318,0.0148029,0
154000,Prunus_glandulifolia,Prunus_mume,0.787532,0.116324,0.0025483,0.053943,0
156000,Prunus_arborea,Prunus_glandulifolia,0,0.199474,-0.0325128,0.00355878,0
156000,Prunus_pensylvanica,NA,56.7146,0.0359063,-0.0186567,0.491455,0
156000,Prunus_glandulifolia,Prunus_mume,6.37876,0.0854148,0.0176432,0.0255174,0
158000,Prunus_arborea,Prunus_glandulifolia,0,0.351169,-0.0295603,0.0595194,0
158000,Prunus_glandulifolia,Prunus_mume,1.59604,0.0713065,0.0105864,0.00104249,0
160000,Prunus_arborea,Prunus_glandulifolia,0,0.148915,-0.0297281,0.00285101,0
160000,Prunus_glandulifolia,Prunus_mume,4.9939,0.0678863,0.026378,0.0122881,0
162000,Prunus_arborea,Prunus_glandulifolia,0,0.215834,-0.0293531,0.0161268,0
162000,Prunus_glandulifolia,Prunus_mume,2.15065,0.0803294,0.00928568,0.0278674,0
164000,Prunus_arborea,Prunus_glandulifolia,0,0.29699,-0.0473043,0.00905134,0
164000,Prunus_glandulifolia,Prunus_mume,1.56927,0.16678,-0.00729467,0.0231758,0
166000,Prunus_arborea,Prunus_glandulifolia,0,0.237238,-0.0439318,0.0146434,0
166000,Prunus_glandulifolia,Prunus_mume,1.85266,0.0907703,0.0079765,0.013644,0
168000,Prunus_arborea,Prunus_glandulifolia,0,0.173927,-0.0298154,0.00482684,0
168000,Prunus_avium,NA,52.831,0.0419076,0.0343698,0.527405,0
168000,Prunus_glandulifolia,Prunus_mume,0.463038,0.0847623,0.0114092,0.025859,0
170000,Prunus_arborea,Prunus_glandulifolia,0,0.230772,-0.0406448,0.00393571,0
170000,Prunus_glandulifolia,Prunus_mume,11.8867,0.11813,0.00020856,0.0226012,0
172000,Prunus_arborea,Prunus_glandulifolia,0,0.28609,-0.0466862,0.0017601,0
172000,Prunus_glandulifolia,Prunus_mume,11.1374,0.168514,-0.00286679,0.0695235,0
174000,Prunus_arborea,Prunus_glandulifolia,0,0.204257,-0.0339093,0.0164482,0
174000,Prunus_glandulifolia,Prunus_mume,6.28451,0.142806,-0.00061259,0.0282219,0
176000,Prunus_arborea,Prunus_glandulifolia,0,0.298274,-0.0333317,0.0357998,0
176000,Prunus_glandulifolia,Prunus_mume,3.26025,0.249451,-0.00972031,0.110213,0
178000,Prunus_arborea,Prunus_glandulifolia,0,0.266219,-0.0393245,0.00501529,0
178000,Prunus_glandulifolia,Prunus_mume,5.86358,0.0698226,0.0259962,0.0158704,0
