generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.85735,-437.565,1,0
2000,0,3.55188,-385.096,0.0509661,0.321839
4000,0,3.42071,-388.844,0.104031,0.309333
6000,1,6.29418,-377.416,0.666075,0.327
8000,1,5.38126,-372.776,0.797954,0.427
10000,1,5.20305,-370.404,0.629135,0.374863
12000,4,13.2726,-373.208,2.56474,0.451
14000,2,6.17588,-369.611,2.09014,0.439
16000,1,6.0325,-370.898,0.234977,0.438833
18000,1,3.95798,-370.603,1.31889,0.467
20000,1,4.7363,-371.169,1.84855,0.418629
22000,1,3.47165,-371.153,0.811223,0.463923
24000,2,9.20565,-370.814,0.609591,0.465714
26000,2,6.48761,-369.337,1.78688,0.47
28000,1,5.70821,-372.945,0.682047,0.4728
30000,2,5.40822,-370.195,1.28455,0.4505
32000,1,3.10339,-371.105,0.92203,0.42
34000,1,5.04669,-374.799,0.456676,0.43675
36000,1,3.26902,-369.226,0.568108,0.462667
38000,1,2.91303,-370.568,1.30168,0.411
40000,1,5.42013,-369.848,0.690911,0.452
42000,1,1.23272,-370.551,2.88316,0.4455
44000,1,4.73333,-370.654,1.28947,0.463
46000,1,5.11477,-373.986,0.248712,0.443
48000,1,4.49785,-368.054,0.845168,0.463
50000,1,3.91275,-369.508,1.11061,0.485
52000,1,4.47155,-370.299,0.648839,0.4497
54000,1,5.61327,-368.848,0.2775,0.4235
56000,2,4.12415,-369.387,2.86658,0.489
58000,1,4.4352,-372.322,0.428867,0.446
60000,2,4.96049,-368.646,1.79787,0.497
62000,1,4.44296,-369.916,0.589681,0.428
64000,1,4.32739,-371.533,1.11712,0.418
66000,2,6.89223,-372.906,0.726098,0.454
68000,2,7.0722,-370.794,1.00792,0.485
70000,2,8.59113,-373.178,0.741756,0.469
72000,1,4.94652,-369.259,0.702163,0.464
74000,1,5.04324,-375.285,0.115201,0.472
76000,1,2.42979,-372.917,0.531914,0.4235
78000,2,-0.198346,-371.888,2.64948,0.457
80000,1,3.24783,-368.678,1.08515,0.442
82000,1,1.07357,-371.465,0.909217,0.45
84000,1,4.40632,-369.535,0.689717,0.452
86000,1,4.02817,-371.936,0.354854,0.424
88000,1,3.79634,-369.108,0.966779,0.441
90000,1,2.00542,-369.737,1.08809,0.4315
92000,2,6.03611,-370.873,0.7743,0.449
94000,1,4.42086,-368.178,0.840737,0.459
96000,1,3.96413,-369.388,0.928087,0.436
98000,1,3.38023,-372.776,1.84452,0.454
100000,1,2.76842,-371.449,0.697546,0.456889
102000,1,5.45974,-373.27,1.24234,0.450625
104000,1,6.67446,-373.323,0.311568,0.466
106000,1,5.4296,-371.686,0.975763,0.462
108000,1,4.84636,-372.709,0.56472,0.4505
110000,1,3.43808,-369.338,1.37132,0.398
112000,1,3.37432,-370.134,1.12824,0.436
114000,1,4.3597,-376.462,2.55395,0.486
116000,1,3.18218,-370.997,2.33109,0.489
118000,1,1.21251,-371.265,0.779992,0.467286
120000,1,3.3717,-370.529,0.271287,0.429
122000,1,4.69935,-369.415,0.37427,0.458
124000,1,4.90241,-370.784,1.37098,0.465333
126000,1,5.02093,-368.642,0.468288,0.454556
128000,1,3.13123,-371.473,1.47977,0.475667
130000,1,2.3783,-372.937,0.510908,0.464
132000,1,5.18784,-375.242,1.53246,0.46028
134000,1,5.82597,-370.31,0.400761,0.457333
136000,1,4.77977,-373.281,0.669145,0.446571
138000,2,3.13397,-373.982,0.989241,0.416
140000,2,5.82638,-374.439,1.38627,0.460286
142000,1,4.13075,-369.784,1.33135,0.45
144000,1,-1.74035,-371.351,2.24481,0.494
146000,1,4.61633,-369.27,1.23753,0.453273
148000,1,2.01662,-369.651,0.314955,0.454
150000,1,3.34097,-369.4,1.94571,0.4865
152000,1,5.54608,-373.437,0.977007,0.432
154000,1,5.24065,-373.573,1.05742,0.454
156000,2,6.09428,-367.782,1.12418,0.466
158000,1,4.02844,-372.931,1.21113,0.429
160000,1,-0.677567,-369.057,5.6395,0.471
162000,1,5.20739,-371.62,0.437605,0.456538
164000,1,3.07513,-368.934,0.176699,0.463
166000,1,3.70807,-369.926,0.329987,0.47
168000,2,6.06012,-370.203,0.390555,0.4635
170000,1,3.71972,-368.641,0.783676,0.48
172000,1,3.03794,-370.259,0.295518,0.4375
