Age	CO2
0	280 
0.25	236.0786991
0.75	235.948044
1.25	256.5200315
1.75	245.2118827
2.25	252.7391276
2.75	291.3579062
3.25	329.1465369
3.75	320.808443
4.25	323.6754145
4.75	325.999004
5.25	327.5315117
5.75	332.6087848
6.25	321.3622698
6.75	332.8732689
7.25	338.5272912
7.75	311.5445789
8.25	321.1903439
8.75	348.0757737
9.25	323.6165147
9.75	304.4799384
10.25	285.4647961
10.75	286.4952337
11.25	292.6765505
11.75	303.8422984
12.25	296.9736059
12.75	297.0262977
13.25	310.8183687
13.75	340.5803943
14.25	415.5803335
14.75	412.1946015
15.25	448.2738316
15.75	483.7979
16.25	484.6812516
16.75	423.0431574
17.25	413.2020957
17.75	434.6264772
18.25	448.0548488
18.75	382.5447396
19.25	358.0737045
19.75	337.4971711
20.25	329.0593681
20.75	338.5410051
21.25	341.28008
21.75	341.661819
22.25	329.992841
22.75	313.3881612
23.25	287.9695164
23.75	286.5116629
24.25	301.0596093
24.75	353.9746931
25.25	389.7951698
25.75	409.0169629
26.25	421.4374352
26.75	430.8793185
27.25	431.6825526
27.75	447.4261815
28.25	474.4026087
28.75	502.8251495
29.25	529.1740145
29.75	547.3221092
30.25	540.2595602
30.75	536.0083916
31.25	529.8497516
31.75	530.3234316
32.25	546.0339663
32.75	574.1523639
33.25	621.8310639
33.75	725.4246413
34.25	804.5066549
34.75	841.9396492
35.25	798.5600944
35.75	767.3503329
36.25	732.3018302
36.75	741.2264766
37.25	782.1985263
37.75	787.9553731
38.25	801.2654648
38.75	825.0400765
39.25	869.0656629
39.75	922.778608
40.25	1059.134305
40.75	934.2209074
41.25	935.6393371
41.75	894.8842581
42.25	878.2177238
42.75	903.058489
43.25	934.1155079
43.75	953.2671431
44.25	984.7467226
44.75	988.4025427
45.25	977.71741
45.75	989.5076038
46.25	1008.544366
46.75	1032.246744
47.25	1094.93802
47.75	1152.447244
48.25	1188.232162
48.75	1302.756872
49.25	1350.764657
49.75	1383.156082
50.25	1431.925917
50.75	1639.866982
51.25	1529.891474
51.75	1428.533055
52.25	1310.290442
52.75	1204.408109
53.25	1119.798035
53.75	981.4604372
54.25	817.9714151
54.75	734.6299654
55.25	911.018679
55.75	1175.909537
56.25	909.7516916
56.75	891.95635
57.25	840.1732478
57.75	807.6484658
58.25	783.5877675
58.75	765.297498
59.25	750.9682694
59.75	747.8251985
60.25	737.1755038
60.75	734.614083
61.25	728.4030328
61.75	722.9606031
62.25	716.8829774
62.75	712.2172031
