Age,CO2
0,271.3415964
0.0036,276.631517
0.0039,289.9505015
0.0046,278.9825848
0.005,298.2916824
0.0078,271.7428068
0.0078,283.4719295
0.0095,281.0569689
0.0103,252.4808289
0.0117,270.8833161
0.014,246.2331238
0.0146,242.6856561
0.0146,233.0198453
0.0151,242.3044577
0.0151,229.5053138
0.017,229.7303941
0.0173,233.4667311
0.0192,170.8004106
0.0204,176.8242447
0.0211,212.3549619
0.0225,212.4787402
0.0248,189.701056
0.0263,180.6187959
0.0263,175.4514899
0.0369,224.2863863
0.0408,214.1541007
0.0471,219.3500201
0.0523,208.9860033
0.0614,209.1482995
0.0706,243.2600771
0.0763,249.302504
0.083,250.5885719
0.0881,277.7933164
0.0996,288.9577817
0.1045,264.9640486
0.11132,295.0804866
0.1136,266.6652267
0.1142,326.6400043
0.1161,344.9649378
0.11906,317.8526888
0.1191,356.4764645
0.1223,282.1569166
0.1232,314.763581
0.12437,299.3694748
0.12748,288.2724744
0.1281,277.6891111
0.131,298.462224
0.13191,262.0243016
0.13322,249.1146538
0.134,219.4330903
0.13557,218.2014575
0.1368,195.8715769
0.1386,175.742277
0.13897,218.0267687
0.14669,226.9386963
0.15004,218.2414128
0.16976,218.1907978
0.17994,216.0317661
0.18437,225.4054923
0.19001,236.0246901
0.19168,236.0905911
0.19807,261.8246658
0.21157,293.2865936
0.22044,275.6438807
0.22366,274.7048417
0.2271,245.8242006
0.23576,276.7307658
0.23948,255.9742302
0.2429,292.9884796
0.24718,275.6324278
0.25007,236.5271999
0.25784,246.1734063
0.3291,306.1471569
0.3585,212.3934391
0.3669,225.7477277
0.3864,254.885944
0.4091,306.9248037
0.4188,279.9359337
0.5416,244.2845277
0.5560931,245.3428889
0.6163,255.3155481
0.651,173.7401284
0.6621,198.1487324
0.675,217.3191863
0.7022,257.9276229
0.7035,268.0828443
0.731,226.3668353
0.7524,208.7661401
0.8919,201.9778213
0.95,289.4066327
0.9528,313.4947724
1.0728,301.160415
1.0789,262.48141
1.08726,246.483578
1.08869,274.5546848
1.09003,235.8229544
1.09267,256.8740733
1.09471,266.780273
1.09946,346.5589485
1.10242,324.6747603
1.10316,335.3091369
1.1062,261.8751022
1.10782,280.8242136
1.1103,303.993239
1.1128,261.2350349
1.11526,240.9983388
1.11786,226.5563856
1.12036,263.6626407
1.12309,214.7821086
1.12606,262.5104103
1.12781,261.1481642
1.13097,266.2946138
1.13657,314.4378582
1.14003,330.8510934
1.14323,300.4410277
1.14533,319.8353554
1.1489,336.6697049
1.15094,280.9263331
1.15409,265.6226386
1.15777,323.8913709
1.16073,334.0070159
1.16285,295.866832
1.1683,270.9514345
1.16986,305.3036387
1.17757,293.7242356
1.17966,282.0874503
1.18175,247.9594435
1.18406,240.5262702
1.18597,274.8240159
1.18807,284.7183658
1.19131,228.4628179
1.1924,214.2127382
1.19515,220.819999
1.20326,205.8000066
1.20676,231.9904643
1.20999,254.9540015
1.2125,228.2496568
1.21448,310.6181943
1.21642,292.5986987
1.21854,323.4556387
1.22418,273.1375392
1.22717,291.9956595
1.23072,338.2905636
1.2333,253.4449815
1.2339,319.4085287
1.23618,281.5354304
1.2387,277.8410803
1.23983,288.3601232
1.24325,313.7692631
1.253,204.8294023
1.2617,244.4876957
1.3515,291.9227745
1.3803,222.9921156
1.384,218.1223911
1.392666667,288.1867839
1.397333333,276.9272968
1.402,324.8752221
1.408,314.4762027
1.414,262.1063766
1.42,203.6417876
1.425166667,239.6723434
1.430333333,231.7762793
1.4355,248.4362194
1.440666667,297.331014
1.445833333,293.8821258
1.451025316,260.5843841
1.455522152,237.6667746
1.459376582,260.920226
1.464515823,251.2179555
1.473509494,284.9212068
1.478006329,277.6059596
1.482503165,231.0016527
1.487,262.9969502
1.49,298.0954752
1.493,216.8005567
1.496428571,201.482271
1.499,225.3126883
1.499,224.8808358
1.502333333,183.0505286
1.505666667,250.3575272
1.509,279.9054412
1.512333333,226.6878634
1.515666667,303.3834856
1.519,282.1128216
1.522333333,287.994265
1.525666667,310.534206
1.528149,237.7313031
1.529,258.1114518
1.535666667,294.4018525
1.539,225.7195447
1.5413,228.8631076
1.5423,280.8664189
1.5741,278.190005
1.5774,216.2556133
1.616,305.8342383
1.6446,192.2393308
1.6487,199.6371418
1.6595,194.0103764
1.6985,293.5422656
1.7531,292.0476071
1.7749,219.6680558
1.7796,229.1049917
1.883341,224.9862148
2.214771,302.1949527
2.33782251,329.9585706
2.346710693,328.8614126
2.352717773,319.2986429
2.362218994,463.3267969
2.372198242,427.9670382
2.381290283,384.9493043
2.389315918,390.3247442
2.410920166,289.9182241
2.424888916,345.4066
2.451231689,332.726044
2.474494141,354.3452504
2.50040332,371.1581549
2.501402588,376.089678
2.521932373,256.612037
2.545154541,348.2766702
2.548644,280.8209122
2.561898438,312.8911077
2.579425049,343.3283013
2.594836426,377.9906806
2.615069336,291.7058656
2.624496094,318.9949548
2.630914795,257.8565116
2.648257813,295.4791998
2.664697021,317.5022718
2.673016113,275.5722759
2.680359375,337.2932447
2.686560303,297.2567727
2.695158203,287.7350358
2.700043457,245.189269
2.703202637,332.4393575
2.707214111,274.5917573
2.745515625,354.8245536
2.751482666,335.9687928
2.764187012,374.1238768
2.777480957,292.6776373
2.798543701,295.3071028
2.83017627,334.0066096
2.831683838,378.7042116
2.838900635,406.10356
2.849182373,322.3714557
2.858321045,463.7254126
2.881506,233.2777559
2.912384277,387.1401841
2.92355957,393.7064276
2.941578125,354.0968312
2.950492676,374.385584
2.951161377,438.4454749
2.959599365,364.8409717
2.978066406,345.9454325
3.002813721,387.7257303
3.010996094,375.0017852
3.027581543,400.1129692
3.04266333,440.0479177
3.050016113,440.1904679
3.059026123,379.5627431
3.062960938,433.9472557
3.066538086,399.3078018
3.09118335,353.8429188
3.100177002,338.824724
3.114238281,413.582025
3.133154785,363.7747416
3.143166016,352.9951695
3.1498,314.7475352
3.151899902,421.8225687
3.15224,399.1839714
3.15305,376.3908926
3.15533,354.7669292
3.1568,530.167835
3.157937012,359.744796
3.15875,366.8802517
3.16005,367.0325814
3.16192,460.6811654
3.16314,404.166209
3.171554932,478.1535597
3.179787109,404.2030649
3.18153,345.0528701
3.18527,382.8358756
3.18641,557.6246133
3.189189941,301.9098232
3.19083,446.5619951
3.19595,494.6811263
3.198729248,351.2757858
3.20288,390.2522692
3.2053,494.8813812
3.20831,415.6124011
3.209375244,347.4231738
3.21102,443.7827881
3.21614,399.2320302
3.22006,445.5440052
3.22398,432.8422143
3.224604492,398.7652413
3.23061,484.1723337
3.23302,344.290853
3.23604,417.9786968
3.239885986,447.9931231
3.242925293,375.2169237
3.245811768,337.3012061
3.24782,440.5177151
3.248518,368.8000296
3.25413,407.0262588
3.259577881,369.4920274
3.26077,423.0371741
3.26807,401.0017795
